date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:14	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:06%20GMT	http://globalvoicesmun.my.canva.site/images/45d4eeb23b3af859b7a68eecdefb1461.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/45d4eeb23b3af859b7a68eecdefb1461.png	(from https://globalvoicesmun.my.canva.site/)
22:15:14	41456/41456	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2024%20Aug%202024%2019:15:06%20GMT	https://globalvoicesmun.my.canva.site/fonts/33696a29f45c1b554a4c12443b998d21.woff2	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/fonts/33696a29f45c1b554a4c12443b998d21.woff2	(from https://globalvoicesmun.my.canva.site/)
22:15:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:09%20GMT	http://globalvoicesmun.my.canva.site/'data:image/png;base64,'	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/'data_image/png;base64,'	(from https://globalvoicesmun.my.canva.site/)
22:15:16	39411/39411	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:09%20GMT	https://globalvoicesmun.my.canva.site/images/45d4eeb23b3af859b7a68eecdefb1461.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/45d4eeb23b3af859b7a68eecdefb1461.png	(from https://globalvoicesmun.my.canva.site/)
22:15:16	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Aug%202024%2019:15:10%20GMT	https://globalvoicesmun.my.canva.site/'data:image/png;base64,'	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/'data_image/png;base64,'	(from https://globalvoicesmun.my.canva.site/)
22:15:16	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:10%20GMT	http://globalvoicesmun.my.canva.site/images/f675a9ce96937cc955bbd269ad578ce4.svg	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/f675a9ce96937cc955bbd269ad578ce4.svg	(from https://globalvoicesmun.my.canva.site/)
22:15:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:11%20GMT	http://globalvoicesmun.my.canva.site/images/0991e55fa025f428f2deac5f5a583b59.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/0991e55fa025f428f2deac5f5a583b59.png	(from https://globalvoicesmun.my.canva.site/)
22:15:17	394/394	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2024%20Aug%202024%2019:15:11%20GMT	https://globalvoicesmun.my.canva.site/images/f675a9ce96937cc955bbd269ad578ce4.svg	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/f675a9ce96937cc955bbd269ad578ce4.svg	(from https://globalvoicesmun.my.canva.site/)
22:15:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Aug%202024%2019:15:12%20GMT	http://globalvoicesmun.my.canva.site/images/83a4a330c87bc675bcdb57df26441987.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/83a4a330c87bc675bcdb57df26441987.png	(from https://globalvoicesmun.my.canva.site/)
22:15:18	344476/344476	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Aug%202024%2019:15:11%20GMT	https://globalvoicesmun.my.canva.site/images/0991e55fa025f428f2deac5f5a583b59.png	C:/testcanvahtttrack/testcanva/globalvoicesmun.my.canva.site/images/0991e55fa025f428f2deac5f5a583b59.png	(from https://globalvoicesmun.my.canva.site/)
